id,title,overview,genres_list,keywords_list,poster_path,popularity,vote_average,vote_count,emo_joy,emo_love,emo_sadness,emo_fear,emo_anger,emo_surprise,emo_disgust,final_emo_joy,final_emo_love,final_emo_sadness,final_emo_fear,final_emo_anger,final_emo_surprise,final_emo_disgust
831223,Gone Mom: The Disappearance of Jennifer Dulos,"Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.","['TV Movie', 'Thriller', 'Crime']",[],/mzTNGnLG6LTHmrqrY0IADHDuyOJ.jpg,6.3573,7.789,237,0.1467851,0.1443781,0.13947625,0.1392681,0.13887464,0.14239857,0.14881927,0.1467850931467847,0.1443780937138484,0.139476252504047,0.13926809818643188,0.13887463303097142,0.14239856388571018,0.14881926553220653
585216,Escape Room: Tournament of Champions,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive... and discovering they've all played the games before.","['Horror', 'Thriller', 'Mystery']","['sequel', 'no escape', 'escape room', 'death game']",/jGYJyPzVgrVV2bgClI9uvEZgVLE.jpg,6.7954,6.5,2140,0.14614674,0.14271198,0.13972867,0.1382448,0.1426547,0.1420152,0.14849786,0.1461467510229387,0.1427119885107274,0.13972867159822605,0.13824479899904724,0.14265470844453762,0.14201521018215466,0.14849787124236843
589761,Chernobyl: Abyss,The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story.,"['Drama', 'History', 'Adventure', 'Action', 'Fantasy', 'Mystery']","['diving', 'radiation', 'affectation', 'melancholy', 'based on true story', 'nostalgic', 'firefighter', 'mysterious', 'nervous', 'chernobyl', 'complex', 'anxious', 'cautionary', 'inspirational', 'adoring', 'ambiguous', 'antagonistic', 'approving', 'audacious', 'celebratory', 'comforting', 'forceful', 'gloomy', 'horrified', 'melodramatic', 'objective']",/AmJLuHjxPdIJO6vmymeWADG6jK5.jpg,4.9403,6.23,546,0.14479184,0.14355052,0.13926387,0.14165612,0.14179197,0.14156963,0.14737612,0.14479183287669226,0.14355050661858879,0.13926386003113628,0.14165610720776872,0.14179196108627554,0.14156962087335462,0.14737611130618386
617653,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.","['History', 'Drama', 'Action']","['based on novel or book', 'castle', 'male friendship', 'normandy, france', 'based on true story', 'trial', 'battlefield', 'knight', 'duel', 'battle', 'historical', 'catholic', 'sword duel', 'rape and revenge', 'historical drama', 'trial by combat', 'nobleman', 'squire', '14th century', 'knighthood', 'medieval france', 'medieval times', 'noble', 'conceited']",/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,6.3641,7.426,3583,0.14640152,0.14304139,0.139867,0.13954099,0.14298116,0.14140828,0.14675964,0.14640152890686778,0.1430413914633212,0.13986699699959151,0.1395409893852767,0.14298116096798064,0.14140828375244988,0.14675964852451232
726684,Miraculous World: Shanghai - The Legend of Ladydragon,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!","['Animation', 'Fantasy', 'Action', 'TV Movie']","['shanghai, china', 'superhero']",/msI5a9TPnepx47JUb2vl88hb80R.jpg,5.9539,7.9,667,0.14469816,0.14335036,0.14124444,0.13906315,0.14150716,0.14375363,0.14638305,0.1446981643750443,0.14335036918597083,0.14124444758494709,0.13906315590723556,0.14150716996970042,0.1437536393293875,0.14638305364771426
576845,Last Night in Soho,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.","['Horror', 'Mystery', 'Drama', 'Thriller']","['london, england', 'nightmare', 'go-go dancer', 'time travel', 'nostalgia', 'fashion designer', 'murder', 'soho london', 'burlesque', 'clairvoyant', 'fashion design', 'mysterious', 'shocking', '1960s', 'somber', 'mirror', 'pub', 'suspenseful', 'amused', 'audacious', 'exuberant', 'tragic']",/n1ZRmjlk1BJTY7aASqACfPAaLn2.jpg,4.8452,7.288,3614,0.1452368,0.14441413,0.14132822,0.14042279,0.13995898,0.14185667,0.14678235,0.14523681373815617,0.1444141354807696,0.14132822402287865,0.14042279961245058,0.13995898604148543,0.14185667883495562,0.1467823622693039
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.","['Animation', 'Action', 'Science Fiction', 'Drama']","['technology', 'dystopia', 'post-apocalyptic future', 'mecha', 'giant robot', 'battle', 'anime', 'father son conflict', 'based on tv series', 'bold']",/md5wZRRj8biHrGtyitgBZo7674t.jpg,5.8132,8.2,868,0.14620332,0.14143574,0.1410626,0.13800241,0.14125271,0.14415425,0.14788903,0.14620331330572714,0.14143573184045166,0.14106259189079762,0.13800240024906396,0.1412527008911445,0.14415423988146783,0.1478890219413473
738652,Copshop,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station. However, when the hit man turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.","['Thriller', 'Crime', 'Action']","['police', 'hitman', 'shootout', 'police station', 'jail cell', 'crooked cop']",/9LEWWWEhS7SZXFDuH1YYhs0VFct.jpg,5.9598,6.3,826,0.14521332,0.14302196,0.13897118,0.13851984,0.14179856,0.14316262,0.14931254,0.14521331868747892,0.14302195395496556,0.1389711776529077,0.13851983638823276,0.14179855373801956,0.14316262091453938,0.1493125386638561
347626,He's All That,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.","['Comedy', 'Romance']","['high school', 'remake', 'prom', 'makeover', 'social media influencer', 'prom king', 'disapproving', 'disrespectful', 'doubtful']",/kW3AG5NHoyq52dcSbMiFB6LyHvk.jpg,5.8756,6.508,1426,0.14440662,0.14331962,0.1396327,0.13842867,0.14181975,0.144042,0.14835057,0.14440662744690683,0.14331963236031178,0.13963271227722707,0.13842868346189582,0.14181975586859552,0.14404201090648852,0.14835057767857446
585245,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.","['Family', 'Adventure', 'Comedy', 'Fantasy']","['based on novel or book', 'dog', 'giant dog', 'pets', 'live action and animation', 'cgi-live action hybrid']",/30ULVKdjBcQTsj2aOSThXXZNSxF.jpg,6.9565,7.2,1773,0.14368472,0.14380471,0.14159983,0.13789737,0.14299262,0.14344706,0.14657365,0.14368472145578512,0.14380472051224355,0.14159984029530767,0.1378973784102818,0.14299262209203642,0.14344706282528027,0.1465736544090653
